initial_query	fixed_by_prod_model
0	Персиковый шеапс	Персиковый шеапс
0	Мини бутылочки алкоголя	Мини бутылочки алкоголя
4	Фантинель Просекко Брют Миллезимато	Фантинель Просекко Брют Миллезимато
15	Абрау-Дюрсо Брют 0,75 л	Абрау-Дюрсо Брют 0,75 л
20	Peter mertes	Peter mertes
1	Nodus en la parra valencia	Nodus en la parra valencia
45	pear	pear
1	La Capra pinotage 2016	La Capra pinotage 2016
19	Усадьба дивноморское	Усадьба дивноморское
8	Онегин	Онегин
2	Comte de Chamberi	Comte de Chamberi
0	Водку	Водку
45	Malbec	Malbec
15	аквавит	аквавит
0	shato leoville	shato leoville
45	prosecco	prosecco
0	NV Le Contesse Prosecco Brut	NV Le Contesse Prosecco Brut
45	Jack d	Jack d
45	юбилейная	юбилейная
25	вдова клико	вдова клико
4	Aberlour	Aberlour
1	ST23810	ST23810
11	фруктовое вино	фруктовое вино
2	Asti Mondoro 0,75L (Асти Мондоро 0,75 л) в подарочной упаковке	Asti Mondoro 0,75L (Асти Мондоро 0,75 л) в подарочной упаковке
0	Jeger	Jeger
76	Портвейн	Портвейн
22	Macallan	Macallan
6	an cnoc	an cnoc
45	Граппа	Граппа
0	вишнёвый ликёр	вишнёвый ликёр
0	La Gitana Manzanilla	La Gitana Manzanilla
1	panarroz	panarroz
0	la trappe	la trappe
4	очаковский	очаковский
8	Casa sancho	Casa sancho
0	Пастис	Пастис
1	Alma valley	Alma valley
45	passion	passion
34	muscadet sevre et maine	muscadet sevre et maine
1	st22603	st22603
4	Lagavulin	Lagavulin
0	don cristobal	don cristobal
0	tanners	tanners
25	ruinart	ruinart
0	Pure Malbec	Pure Malbec
2	lluerna	lluerna
2	MAS DEL PERIE	MAS DEL PERIE
4	мараскино	мараскино
32	Cahor	Cahor
3	Винапенья	Винапенья
20	Italo Cescon	Italo Cescon
6	murphy goode	murphy goode
39	Lambrusco Bianco	Lambrusco Bianco
100	Brut	Brut
28	Страна камней	Страна камней
45	шампанское	шампанское
0	Глехури	Глехури
0	Маккалан 18	Маккалан 18
0	Коньяк Хеннесси VSOP	Коньяк Хеннесси VSOP
0	duquesa pedro ximenez sherry	duquesa pedro ximenez sherry
0	altropasso	altropasso
13	Blue Curacao	Blue Curacao
0	Epicuro primitivo	Epicuro primitivo
0	Canti Италия	Canti Италия
4	Cocoa	Cocoa
1	ge17145	ge17145
0	Bacano	Bacano
79	портвейн	портвейн
31	Frizzante	Frizzante
1	MB0209002	MB0209002
0	champagne lanson	champagne lanson
8	Riga Black Balsam	Riga Black Balsam
0	Sanguineto	Sanguineto
45	макалл	макалл
1	Kindzmarauli	Kindzmarauli
45	montepulciano	montepulciano
3	Mud House	Mud House
1	rb1519	rb1519
2	kwartel	kwartel
8	Франчакорта Кюве Престиж	Франчакорта Кюве Престиж
14	Fragolino	Fragolino
45	1999	1999
19	Трипл сек	Трипл сек
31	De kuyper	De kuyper
14	Сироп	Сироп
0	Beylies	Beylies
0	Berton Vineyards,	Berton Vineyards,
0	ws5240	ws5240
1	Bushmills Black Bush	Bushmills Black Bush
45	lambrusco	lambrusco
45	вино	вино
0	даманские вина	даманские вина
45	KWV	KWV
8	les jamelles	les jamelles
45	коньяк армянский	коньяк армянский
0	dr52459	dr52459
0	Кагор канонический лоза	Кагор канонический лоза
4	Zacapa	Zacapa
1	st22705	st22705
45	монтифо	монтифо
24	джим бим	джим бим
45	коньяк	коньяк
27	Prosecco Spumant	Prosecco Spumant
22	Lugana	Lugana
69	Pinot	Pinot
0	Ананасовый сок	Ананасовый сок
14	жан поль шене	жан поль шене
0	Domaine de la Presidente,	Domaine de la Presidente,
0	Paul Boutinot The Big Top Zinfandel	Paul Boutinot The Big Top Zinfandel
0	canti	canti
0	Gancia prosseko	Gancia prosseko
1	Boira	Boira
45	jura	jura
3	Moet 1,5	Moet 1,5
0	экпс73	экпс73
45	Ром	Ром
0	саперави гагелани	саперави гагелани
10	Canti asti	Canti asti
45	il grigio	il grigio
0	Ragaeli	Ragaeli
38	полугар	полугар
13	балаклава	балаклава
45	Шампанское	Шампанское
18	Вино сант	Вино сант
1	RB243	RB243
0	GlencAdam 25 yars	GlencAdam 25 yars
12	Феликс Солис	Феликс Солис
37	Изабелла	Изабелла
0	Propper 12	Propper 12
0	делисстмо	делисстмо
3	монте клавихо виура	монте клавихо виура
1	Сastillo dе Clavijo	Сastillo dе Clavijo
5	gazela	gazela
0	настойка сваяк мед и липа	настойка сваяк мед и липа
29	Gancia	Gancia
0	Proseco Gancia	Proseco Gancia
0	Гремисеули 0.5	Гремисеули 0.5
13	Пакет	Пакет
0	ST6302	ST6302
0	ST26088	ST26088
0	Nebbiolo Metodo Classico	Nebbiolo Metodo Classico
5	Al Bano Carrisi	Al Bano Carrisi
45	Marlborough	Marlborough
8	Cari Lentozzi	Cari Lentozzi
12	Alska	Alska
15	Zonin	Zonin
3	Голубое	Голубое
0	Black Velvet	Black Velvet
1	C0218	C0218
1	ST22422	ST22422
45	valdobbiadene prosecco	valdobbiadene prosecco
4	Шампанское Крым	Шампанское Крым
29	солнечная долина	солнечная долина
11	Ambonnay	Ambonnay
17	alta vista	alta vista
0	Wolf blasts yellow label	Wolf blasts yellow label
0	Гентиана	Гентиана
5	преступлений	преступлений
45	Виски	Виски
32	Хванчкара	Хванчкара
1	Черные глаза	Черные глаза
4	Terrazas Cabernet Sauvignon	Terrazas Cabernet Sauvignon
6	клюква на коньяке	клюква на коньяке
6	Bartenura	Bartenura
1	Cono Sur Bicicleta Sauvignon Blanc	Cono Sur Bicicleta Sauvignon Blanc
2	Proper	Proper
5	Power	Power
0	абрау blanс de blancs	абрау blanс de blancs
0	мекс 14036	мекс 14036
3	Le fronde	Le fronde
10	Глинтвейн	Глинтвейн
7	Lavetti	Lavetti
0	Ягирместер	Ягирместер
0	Meridian brandy vsop	Meridian brandy vsop
45	Арманьяк	Арманьяк
0	Delon2011	Delon2011
7	CHENET	CHENET
0	САПЕРАВИ СОЛНЕЧНАЯ ДОЛИНА	САПЕРАВИ СОЛНЕЧНАЯ ДОЛИНА
1	2017 Boira Pinot Grigio	2017 Boira Pinot Grigio
13	Mildiani	Mildiani
2	Аква натия	Аква натия
45	массандра	массандра
2	Славянка	Славянка
0	Текила дон алихандро	Текила дон алихандро
17	Metaxa	Metaxa
45	водка	водка
0	Herisson	Herisson
0	savignon blank	savignon blank
45	Brut Rose	Brut Rose
13	Жигулевское	Жигулевское
45	spumante	spumante
21	J.p	J.p
1	Feist Extra Dry White	Feist Extra Dry White
8	онегин	онегин
1	LD28999	LD28999
1	st19181	st19181
2	Chateau La Couspaude Saint-Emilion Grand Cru AOC	Chateau La Couspaude Saint-Emilion Grand Cru AOC
5	казумян	казумян
0	NV PALAZZO NOBILE PROSECCO EXTRA DRY	NV PALAZZO NOBILE PROSECCO EXTRA DRY
2	Salgetino	Salgetino
2	caroline bay	caroline bay
45	meursault	meursault
14	Daiginjo	Daiginjo
12	пять озер	пять озер
16	Pilsner	Pilsner
0	Prosecco Millesimato Extra Dry Multicolor	Prosecco Millesimato Extra Dry Multicolor
1	Sarmientos Tarapaca Chardonnay	Sarmientos Tarapaca Chardonnay
11	ла джойоза	ла джойоза
1	st20247	st20247
23	glenfiddich	glenfiddich
