count	initial_query	fixed_by_prod_model
10	Black vanilla	Black vanilla
1	гель planeta organica	гель planeta organica
1	Dior 683	Dior 683
2	Rimmel stay matt	Rimmel stay matt
1	Фигурное мыло	Фигурное мыло
1	Weleda интим	Weleda интим
1	Kerasys shampoo	Kerasys shampoo
1	Stilettos on Lex Jul et Mad parisi	Stilettos on Lex Jul et Mad parisi
41	lumene valo	lumene valo
1	kinelics	kinelics
1	escentric molecules molecule 023	escentric molecules molecule 023
6	origins масло	origins масло
1	Fresh Line Набор для тела Виноград и нектарин	Fresh Line Набор для тела Виноград и нектарин
7	gorgeous	gorgeous
2	Sisley sour de lune	Sisley sour de lune
1	SORBETTO ROSSO	SORBETTO ROSSO
1	L'Oreal Paris Makeup Infallible Up to 24	L'Oreal Paris Makeup Infallible Up to 24
1	их nihilo fleur narcotique	их nihilo fleur narcotique
3	giorgio armani mania	giorgio armani mania
4	Fior	Fior
4	dior пуазон	dior пуазон
1	娇韵诗乳	娇韵诗乳
50	viktor&rolf spicebomb	viktor&rolf spicebomb
2	Туалетная вода Жадо	Туалетная вода Жадо
8	Christian Dior Fahrenheit	Christian Dior Fahrenheit
1	Парада с пудровым эффектом	Парада с пудровым эффектом
2	Sansiro,Sansiro	Sansiro,Sansiro
2	Dolce & Gabbana Dolce Rosa	Dolce & Gabbana Dolce Rosa
2	Raw	Raw
1	number 1	number 1
1	Gosh праймер тени	Gosh праймер тени
3	essence payot	essence payot
2	Крем витамин Е	Крем витамин Е
1	Erborian CC	Erborian CC
3	Мусульмане эгора 5/9 12	Мусульмане эгора 5/9 12
1	очищение с кислотами	очищение с кислотами
1	Adopt лакрица	Adopt лакрица
1	Listens	Listens
7	Lash power	Lash power
7	barrier	barrier
1	8 элемент	8 элемент
1	Cinema Yves Saint Laurent	Cinema Yves Saint Laurent
14	Mac factor	Mac factor
7	Для косметики	Для косметики
1	Guam Антицеллюлитный стик с экстрактом водоросли, 75 мл	Guam Антицеллюлитный стик с экстрактом водоросли, 75 мл
1	Tour	Tour
3	Задоре	Задоре
3	Коррек	Коррек
1	mon GUERLAIN EAU DE PARFUM FLORALE	mon GUERLAIN EAU DE PARFUM FLORALE
2	туалетная вода cristiano	туалетная вода cristiano
1	aqua di+ gio	aqua di+ gio
2	женская парфюмерия gucci	женская парфюмерия gucci
4	Dolce gabanna the only one	Dolce gabanna the only one
1	Acqua dL Parma colonias	Acqua dL Parma colonias
5	Контейнеры	Контейнеры
2	тональный крем с спф	тональный крем с спф
2	Bobbi Brown Waterproof Brow Shaper	Bobbi Brown Waterproof Brow Shaper
1	woonderwood	woonderwood
2	adobe	adobe
3	минеральная косметика	минеральная косметика
2	ARTDECO КОНСИЛЕР	ARTDECO КОНСИЛЕР
1	Megaglot	Megaglot
1	chanel bleu de chanel парфюмерная вода 50 мл	chanel bleu de chanel парфюмерная вода 50 мл
10	iceberg man	iceberg man
4	L'Oreal Paris Brow Artist Plumper	L'Oreal Paris Brow Artist Plumper
3	Jimmy joo	Jimmy joo
2	Эсте лаудер интуишен	Эсте лаудер интуишен
7	Solo platinum	Solo platinum
3	Бритва Gillette Fusion5 ProGlide Power	Бритва Gillette Fusion5 ProGlide Power
131	Атомайзер	Атомайзер
2	Ладком	Ладком
1	Isadora lip desire	Isadora lip desire
12	крем clinique	крем clinique
1	Creed Three	Creed Three
1	Giorgio Armani Armani Code Femme Satin Eau De Parfum	Giorgio Armani Armani Code Femme Satin Eau De Parfum
15	Тональные крема	Тональные крема
1	egoist parfum	egoist parfum
1	Gregorio armani	Gregorio armani
1	Вообще миллион	Вообще миллион
1	red moscow	red moscow
1	Фиксатор макияжа nyx	Фиксатор макияжа nyx
2	Lalique encre noir	Lalique encre noir
1	Духи savage	Духи savage
4	Мужские подарк	Мужские подарк
1	Biologique Recherche Lotion P50	Biologique Recherche Lotion P50
2	Burberry blacks	Burberry blacks
1	jahal	jahal
1	Помада винная	Помада винная
3	La Mer тоник	La Mer тоник
1	pupa 14	pupa 14
1	На опыта клиник	На опыта клиник
1	Dynamic	Dynamic
1	PAYOT СМЯГЧАЮЩИЙ КОЖУ ШАРИКОВЫЙ ДЕЗОДОРАНТ БЕЗ СПИРТА	PAYOT СМЯГЧАЮЩИЙ КОЖУ ШАРИКОВЫЙ ДЕЗОДОРАНТ БЕЗ СПИРТА
1	Росабароко	Росабароко
1	Питательный блеск	Питательный блеск
1	Bogaje	Bogaje
1	Dior intence	Dior intence
1	Keizo	Keizo
1	Fox I	Fox I
2	Крем-баттер	Крем-баттер
1	Солнцезащитный для проблемной кожи	Солнцезащитный для проблемной кожи
5	тушь для ресниц гурмандиз	тушь для ресниц гурмандиз
2	Зодак и вольтер	Зодак и вольтер
1	Термоса-тушь	Термоса-тушь
1	Bvlgari Man In Black Cologne Туалетная вода	Bvlgari Man In Black Cologne Туалетная вода
1	крем с SPF-защитой	крем с SPF-защитой
1	Новинки тушь	Новинки тушь
9	Календарь мастхевов	Календарь мастхевов
4	Mont blanche	Mont blanche
1	trio крем для рук	trio крем для рук
1	пенка увлажняющ	пенка увлажняющ
2	kenzo l’ eau par	kenzo l’ eau par
1	Легендарный кислород	Легендарный кислород
19	масло для ресниц	масло для ресниц
1	SMMLC09	SMMLC09
2	Крем для лица солнцезащитный	Крем для лица солнцезащитный
1	"L'Oreal Paris Тональный крем ""Alliance Perfect"	"L'Oreal Paris Тональный крем ""Alliance Perfect"
1	Люфты	Люфты
3	Матовая помада loreal	Матовая помада loreal
1	"консилер хайлайтер для лица "" true match"	"консилер хайлайтер для лица "" true match"
3	Тональный крем Estée Lauder	Тональный крем Estée Lauder
2	Christian Dior homme Parfum	Christian Dior homme Parfum
2	1870 opus	1870 opus
4	Opus 1870	Opus 1870
1	Nina Ricci L ‘Air Du Temps	Nina Ricci L ‘Air Du Temps
1	Make up forever matte velvet	Make up forever matte velvet
2	PUPA BIRD 2	PUPA BIRD 2
1	тональный clinic	тональный clinic
1	Guerlain пудра рассыпчатая	Guerlain пудра рассыпчатая
1	Stash super	Stash super
1	Парфюмерный лосьон для тела	Парфюмерный лосьон для тела
1	Ультрафиолетовый фонарь	Ультрафиолетовый фонарь
3	chanel beauty	chanel beauty
1	mac 210	mac 210
1	Metallic lip	Metallic lip
1	encre noire sport	encre noire sport
1	N°5 FRAGMENTS D'OR	N°5 FRAGMENTS D'OR
1	Estee lauder re-nutriv	Estee lauder re-nutriv
5	Mexx back	Mexx back
1	для+ сухой кожи лица	для+ сухой кожи лица
1	SeaNtree Horse Oil	SeaNtree Horse Oil
2	l’ oréal washout	l’ oréal washout
4	love yourself	love yourself
2	Mavala lagoon	Mavala lagoon
2	ysl320	ysl320
1	kouros yves saint laurent	kouros yves saint laurent
1	Айзе5берг	Айзе5берг
1	сменные блоки 3*20	сменные блоки 3*20
2	Пудры матирующие	Пудры матирующие
1	Teana Огненный топаз	Teana Огненный топаз
1	Kilian parfum	Kilian parfum
1	Мочевины	Мочевины
1	Dior le volume revolution mascara	Dior le volume revolution mascara
1	Hermès in jardin	Hermès in jardin
3	Chrome azzura	Chrome azzura
1	Орхидеи	Орхидеи
2	Dr. brandt	Dr. brandt
7	kiko milano	kiko milano
2	chanel карандаш для глаз	chanel карандаш для глаз
1	sergio tacchini ozone	sergio tacchini ozone
24	clinique anti-blemish	clinique anti-blemish
1	тени для бровей pupa	тени для бровей pupa
2	Shake short	Shake short
1	Polo sport	Polo sport
1	les garcons	les garcons
1	nyx strobe of genius illuminating palette	nyx strobe of genius illuminating palette
1	lucas papaw бальзам для губ	lucas papaw бальзам для губ
1	Carbonated Booble	Carbonated Booble
2	для удаления волос	для удаления волос
1	CAFE-CAFE cafe GREEN Eau de Toilette	CAFE-CAFE cafe GREEN Eau de Toilette
3	Питательный крем с шафраном	Питательный крем с шафраном
7	Мужская парфюмерная вода	Мужская парфюмерная вода
1	TRESemmé	TRESemmé
16	love by kilian	love by kilian
2	Sciseido	Sciseido
2	Травало	Травало
1	DSM	DSM
7	estée lauder корректор	estée lauder корректор
1	Vivienne sabo rouge	Vivienne sabo rouge
2	Наборы подарочные для женщин	Наборы подарочные для женщин
19	тени для век nyx	тени для век nyx
1	Urban decay хайлайтер	Urban decay хайлайтер
45	very irresistible	very irresistible
2	S miracle shail essence mask	S miracle shail essence mask
1	glarins	glarins
1	Intense Tiare EDP	Intense Tiare EDP
2	Средство для чистки кистей	Средство для чистки кистей
1	Air luminizer	Air luminizer
3	Тональный пигмент	Тональный пигмент
1	Montale intense coffee	Montale intense coffee
1	Moss Snowdrop	Moss Snowdrop
1	бал в африке	бал в африке
13	Средство для снятия макияжа с глаз	Средство для снятия макияжа с глаз
1	Terenzi morema	Terenzi morema
1	Gosh гель для бровей	Gosh гель для бровей
2	Тени для век nude huda beaty	Тени для век nude huda beaty
1	Фантабулюс	Фантабулюс
3	туалетная вода женщин	туалетная вода женщин
1	маска с углем	маска с углем
1	Powder Flowers+ Montale	Powder Flowers+ Montale
1	база под макияж max factor	база под макияж max factor
1	Dr hauschka зубная паста	Dr hauschka зубная паста
1	брокколи	брокколи
1	vanilla spicy	vanilla spicy
2	Клиник дезодорант	Клиник дезодорант
1	COMME DES GARCONS SERIES 3 INCENSE: JAISALMER	COMME DES GARCONS SERIES 3 INCENSE: JAISALMER
1	shideido тональное средство	shideido тональное средство
2	Жидкая пудра	Жидкая пудра
1	Mizon all one snall	Mizon all one snall
1	Girls now	Girls now
2	Lancôme tonique comfort	Lancôme tonique comfort
1	utipia	utipia
1	Маска Мольтобенэ	Маска Мольтобенэ
1	Colour Elixir Cushion	Colour Elixir Cushion
1	Givenchy mister mat	Givenchy mister mat
1	cathy doll nude me	cathy doll nude me
53	Тушь pupa	Тушь pupa
4	Умная эмаль	Умная эмаль
2	Тени однокопмактые	Тени однокопмактые
1	dark two	dark two
1	black black afgano	black black afgano
2	Блеск для губ lumene	Блеск для губ lumene
1	chanel парфюм для мужчин	chanel парфюм для мужчин
8	Kohl	Kohl
1	Sensai kanebo fluid finish	Sensai kanebo fluid finish
1	Dolce milk увлажняющая сыворотка	Dolce milk увлажняющая сыворотка
3	gosh eyebrow pencil	gosh eyebrow pencil
1	Dior DiorSkin Poudre Shimmer	Dior DiorSkin Poudre Shimmer
3	l'oreal les chocolats ultrapro matte liquid lipstick	l'oreal les chocolats ultrapro matte liquid lipstick
1	dosed	dosed
1	Erboria	Erboria
2	fruity	fruity
1	King of seduction absolute	King of seduction absolute
4	ysl nu incongru	ysl nu incongru
1	Azara	Azara
4	А адвент календарь Адвент календарь	А адвент календарь Адвент календарь
1	tudor	tudor
5	туалетная вода виски	туалетная вода виски
2	polo ralph lauren	polo ralph lauren
60	Thank you farmer	Thank you farmer
1	ck in2u	ck in2u
23	Unicorn	Unicorn
2	Пополняемый сертификат	Пополняемый сертификат
1	Валери до	Валери до
2	New Yorker	New Yorker
21	Adopt caramel	Adopt caramel
2	Grand Neroli	Grand Neroli
1	Mexx spring is nou	Mexx spring is nou
2	becca under eye brightening corrector	becca under eye brightening corrector
2	Никс хайлайтер	Никс хайлайтер
1	Gucci gilty	Gucci gilty
1	Bioderm se	Bioderm se
1	Illusion D	Illusion D
1	Pure melt clarins	Pure melt clarins
3	Givenchy pret a porter	Givenchy pret a porter
1	Kiehl´S	Kiehl´S
1	пена fresh	пена fresh
3	Пятигорск	Пятигорск
1	l'oreal active	l'oreal active
3	mac prep	mac prep
2	karl antony	karl antony
1	alerana	alerana
1	тоник сужающий	тоник сужающий
1	Расческа teezer	Расческа teezer
1	кисти для макичжс	кисти для макичжс
1	Пудра для скидк	Пудра для скидк
3	evidens	evidens
1	кремя для лица seberica	кремя для лица seberica
1	Компактная пудра lancome	Компактная пудра lancome
1	Маски dr.jard	Маски dr.jard
1	Sigma kabuki brush	Sigma kabuki brush
1	mess no more	mess no more
2	starwalker	starwalker
1	Для женщин dkny	Для женщин dkny
1	Venetian blue	Venetian blue
