searchstring;productcount;eventdate;fixed;is_fixed;brands_fixed;layout_fixed;spaces_fixed;typos_fixed;;
tinuta ripa magna;0;24.12.2018;tinuta ripa magna;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,002783157;1
tenuta ripa magna;0;24.12.2018;tenuta ripa magna;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018414407;1
Le Pergole Torte;3;24.12.2018;le pergole torte;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018554422;1
cliq;0;24.12.2018;cliq;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011534054;1
подарочные наборы;0;24.12.2018;подарочные наборы;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016848332;1
Коньяк;45;24.12.2018;коньяк;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023975001;1
Martell;45;24.12.2018;martell;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014511721;1
Martell;45;24.12.2018;martell;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001643191;1
хванчкара;0;24.12.2018;хванчкара;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01424787;1
chateau lagrange;9;24.12.2018;chateau lagrange;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019186544;1
Абсолют;18;24.12.2018;абсолют;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008823541;1
Гренадин;4;24.12.2018;гренадин;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021093751;1
ok018217;1;24.12.2018;ok018217;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001231791;1
Вин санто;0;24.12.2018;вин санто;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007242817;1
laphroaig;5;24.12.2018;laphroaig;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005619801;1
Водка калашников;0;24.12.2018;водка калашников;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026818413;1
Шабли;45;24.12.2018;chablis;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016336802;1
25 лет;45;24.12.2018;25 лет;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001243533;1
абрау;45;24.12.2018;абрау;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025020306;1
Winemaker's Secret Barrels red;0;24.12.2018;winemaker's secret barrels red;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011453615;1
chivas regal;22;24.12.2018;chivas regal;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013898313;1
ракия;27;24.12.2018;ракия;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015885725;1
аристов;9;24.12.2018;аристов;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027270321;1
white label;11;24.12.2018;white label;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011631618;1
chivas regal;22;24.12.2018;chivas regal;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001757751;1
Кальвадос;45;24.12.2018;кальвадос;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022935889;1
Кальвадос;45;24.12.2018;кальвадос;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010161447;1
Mozart;7;24.12.2018;mozart;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016495124;1
кальвадос;45;23.12.2018;кальвадос;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023080529;1
амаретто;28;23.12.2018;amaretto;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011344812;1
 acquesi asti;3;23.12.2018;acquesi asti;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024162448;1
Philipp Kuhn;12;23.12.2018;philipp kuhn;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010976619;1
terre allegre;5;23.12.2018;terre allegre;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020796702;1
Сидр;45;23.12.2018;сидр;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,028994749;1
Mont Marcal Cuvee Noire;1;23.12.2018;mont marcal cuvee noire;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,006126468;1
Вермут;42;23.12.2018;вермут;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008718956;1
мухрани;23;23.12.2018;mukhrani;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,002977051;1
Абсент;22;23.12.2018;абсент;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010403367;1
Блю круасао;0;23.12.2018;blue круасао;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013637488;1
Blue;45;23.12.2018;blue;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013065962;1
пунш;4;23.12.2018;punch;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008935119;1
Уоркъ;0;23.12.2018;уоркъ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016659345;1
Somni;1;22.12.2018;somni;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01669406;1
Персиковый шеапс;0;22.12.2018;персиковый шнапс;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,022540632;1
Мини бутылочки алкоголя;0;22.12.2018;мини бутылочки алкоголя;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023984346;1
Фантинель Просекко Брют Миллезимато;4;22.12.2018;фантинель просекко брют миллезимато;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013570127;1
Абрау-Дюрсо Брют 0,75 л;15;22.12.2018;абрау-дюрсо брют 0,75 л;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024315757;1
Prosecco;45;22.12.2018;prosecco;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024806104;1
Peter mertes;20;22.12.2018;peter mertes;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008377842;1
Nodus en la parra valencia;1;22.12.2018;nodus en la parra valencia;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,028470165;1
Avivo;0;22.12.2018;aviva;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026818625;1
pear;45;22.12.2018;pear;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014031117;1
La Capra pinotage 2016;1;22.12.2018;la capra pinotage 2016;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02718865;1
Усадьба дивноморское;19;22.12.2018;усадьба дивноморское;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015169244;1
Онегин;8;22.12.2018;онегин;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00984611;1
Comte de Chamberi;2;22.12.2018;comte de chamberi;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018892124;1
Водку;0;22.12.2018;водку;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001000959;1
Malbec;45;21.12.2018;malbec;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018118715;1
ром баккарди;0;21.12.2018;ром bacardi;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017060661;1
Zanna;3;21.12.2018;zanna;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021087727;1
аквавит;15;21.12.2018;аквавит;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027226961;1
shato leoville;0;21.12.2018;shato leoville;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024188907;1
prosecco;45;21.12.2018;prosecco;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009959664;1
NV Le Contesse Prosecco Brut;0;21.12.2018;nv le contesse prosecco brut;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000156289;1
Jack d;45;21.12.2018;jack d;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024486493;1
юбилейная;45;21.12.2018;юбилейная;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,006010893;1
вдова клико;25;21.12.2018;вдова клико;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014555241;1
Aberlour;4;21.12.2018;aberlour;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020743587;1
ST23810;1;21.12.2018;st23810;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02881064;1
фруктовое вино;11;21.12.2018;фруктовое вино;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015577276;1
Asti Mondoro 0,75L (Асти Мондоро 0,75 л) в подарочной упаковке;2;21.12.2018;Asti Mondoro 0,75L (Асти Мондоро 0,75 л) в подарочной упаковке;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027919879;1
реми марти;25;21.12.2018;remy март и;ИСТИНА;ИСТИНА;ЛОЖЬ;ИСТИНА;ЛОЖЬ;0,018131635;1
Jeger;0;21.12.2018;jeger;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026626245;1
Портвейн;76;21.12.2018;портвейн;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020042777;1
Macallan;45;21.12.2018;macallan;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,002764012;1
an cnoc;6;21.12.2018;an cnoc;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023021042;1
Граппа;45;21.12.2018;граппа;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024044507;1
 Cava;20;21.12.2018;cava;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005458816;1
вишнёвый ликёр;0;21.12.2018;вишнёвый ликёр;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027881812;1
La Gitana Manzanilla;0;21.12.2018;la gitana manzanilla;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016644626;1
panarroz;1;21.12.2018;panarroz;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019184884;1
la trappe;0;21.12.2018;la trappe;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021925109;1
кардинал;16;21.12.2018;cardinal;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026875586;1
очаковский;4;21.12.2018;очаковский;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027982355;1
Casa sancho;8;21.12.2018;casa sancho;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023578184;1
Пастис;0;21.12.2018;пастис;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007682743;1
Alma valley;1;21.12.2018;alma valley;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027909639;1
Миниатюры;0;21.12.2018;миниатюры;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022763871;1
passion;45;21.12.2018;passion;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018260631;1
muscadet sevre et maine;34;20.12.2018;muscadet sevre et maine;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02509398;1
st22603;1;20.12.2018;st22603;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,0177723;1
Lagavulin;4;20.12.2018;lagavulin;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017513479;1
don cristobal;0;20.12.2018;don cristobal;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012274908;1
tanners;0;20.12.2018;tanners;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020575534;1
ruinart;25;20.12.2018;ruinart;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027738182;1
Pure Malbec;0;20.12.2018;pure malbec;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012092029;1
Сфтеш;0;20.12.2018;canti;ИСТИНА;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;0,025531573;1
lluerna;2;20.12.2018;lluerna;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022969366;1
MAS DEL PERIE;2;20.12.2018;mas del perie;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019447523;1
Ламбруско;45;20.12.2018;lambrusco;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027604472;1
мараскино;4;20.12.2018;мараскино;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01675143;1
Cahor;32;20.12.2018;cahors;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,015212419;1
Винапенья;3;20.12.2018;винапенья;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018697412;1
Italo Cescon;20;20.12.2018;italo cescon;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026013483;1
murphy goode;6;20.12.2018;murphy goode;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011281228;1
Lambrusco Bianco;39;20.12.2018;lambrusco bianco;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027324048;1
Brut;45;20.12.2018;brut;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,003097512;1
Страна камней;28;20.12.2018;страна камней;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,003552178;1
Aviva;21;20.12.2018;aviva;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023731533;1
Aviva;4;20.12.2018;aviva;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012652824;1
шампанское;45;20.12.2018;шампанское;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007289053;1
Глехури;0;20.12.2018;глехури;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017217226;1
Маккалан 18;0;20.12.2018;маккалан 18;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02171074;1
Коньяк Хеннесси VSOP;0;20.12.2018;коньяк хеннесси vsop;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,006918809;1
duquesa pedro ximenez sherry;0;20.12.2018;duquesa pedro ximenez sherry;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017917377;1
altropasso;0;20.12.2018;altropasso;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024225386;1
Blue Curacao;13;20.12.2018;blue curacao;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000551693;1
Epicuro primitivo;0;20.12.2018;epicuro primitivo;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012637114;1
Canti Италия;0;20.12.2018;canti италия;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,028993846;1
Cocoa;4;20.12.2018;cocoa;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010163282;1
ge17145;1;20.12.2018;ge17145;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000906294;1
Bacano;0;20.12.2018;bacano;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015453273;1
портвейн;79;20.12.2018;портвейн;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001516691;1
Frizzante;31;20.12.2018;frizzante;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013174857;1
 Sauza;9;20.12.2018;sauza;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018618255;1
Шериданс;4;20.12.2018;sheridan's;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01395658;1
MB0209002;1;19.12.2018;mb0209002;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013261351;1
перно ре;3;19.12.2018;perno ре;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009541469;1
champagne lanson;0;19.12.2018;champagne lanson;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021487094;1
  Chateau Lafont Bordeaux 2016;0;19.12.2018;chateau lafont bordeaux 2016;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025735297;1
Canti;45;19.12.2018;canti;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020167808;1
Riga Black Balsam;8;19.12.2018;riga black balsam;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025038568;1
Sanguineto;0;19.12.2018;sanguineto;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015619497;1
макалл;45;19.12.2018;макалл;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018935267;1
Kindzmarauli;1;19.12.2018;kindzmarauli;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007840984;1
montepulciano;45;19.12.2018;montepulciano;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025502755;1
Mud House;3;19.12.2018;mud house;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026312317;1
rb1519;1;19.12.2018;rb1519;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005986907;1
kwartel;2;19.12.2018;kwartel;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013282423;1
Франчакорта Кюве Престиж;8;19.12.2018;франчакорта кюве престиж;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008962549;1
Лансон;39;19.12.2018;lanson;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018444409;1
Fragolino;14;19.12.2018;fragolino;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023878472;1
Фраголино;13;19.12.2018;fragolino;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017802471;1
1999;45;19.12.2018;1999;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018566539;1
Трипл сек;19;19.12.2018;трипл сек;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007468929;1
De kuyper;31;19.12.2018;de kuyper;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009299977;1
Сироп;14;19.12.2018;сироп;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00701928;1
Beylies;0;19.12.2018;beylies;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010775802;1
Berton Vineyards,;0;19.12.2018;berton vineyards,;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016608204;1
ws5240;0;19.12.2018;ws5240;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005643788;1
Bushmills Black Bush;1;19.12.2018;bushmills black bush;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016572611;1
lambrusco;45;19.12.2018;lambrusco;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007075767;1
вино;45;19.12.2018;вино;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016131432;1
даманские вина;0;19.12.2018;даманские вина;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027972315;1
Lanson;39;19.12.2018;lanson;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011565581;1
KWV;45;19.12.2018;kwv;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023058738;1
les jamelles;8;19.12.2018;les jamelles;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027554706;1
баккарди;0;19.12.2018;bacardi;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011888499;1
коньяк армянский;45;19.12.2018;коньяк армянский;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011070678;1
dr52459;0;19.12.2018;dr52459;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013522017;1
Кагор канонический лоза;0;19.12.2018;кагор канонический лоза;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02496046;1
Zacapa;4;19.12.2018;zacapa;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001093128;1
st22705;1;19.12.2018;st22705;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,006425008;1
монтифо;45;19.12.2018;монтифо;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,0186155;1
джим бим;24;18.12.2018;джим бим;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014254714;1
коньяк;45;18.12.2018;коньяк;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013433617;1
Prosecco Spumant;27;18.12.2018;prosecco spumante;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,028647618;1
Lugana;22;18.12.2018;lugana;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,003297676;1
Pinot;35;18.12.2018;pinot;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017664987;1
Pinot;69;18.12.2018;pinot;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009475498;1
Ананасовый сок;0;18.12.2018;ананасовый сок;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022478576;1
Асти;45;18.12.2018;asti;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01228277;1
жан поль шене;14;18.12.2018;жан поль шене;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018817043;1
Domaine de la Presidente,;0;18.12.2018;domaine de la presidente,;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00657447;1
