searchstring;productcount;eventdate;fixed;is_fixed;brands_fixed;layout_fixed;spaces_fixed;typos_fixed;;
Mondoro;3;30.12.2018;mondoro;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011771544;1
Suvorov vin;0;30.12.2018;suvorov vin;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010643998;1
Most Wonderful Time 4 A Beer;0;30.12.2018;most wonderful time 4 a beer;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020989777;1
брют;23;30.12.2018;brut;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022223868;1
sigalas;0;30.12.2018;sigalas;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,025236638;1
arvest;31;30.12.2018;harvest;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,01987275;1
Bacalhoa;10;30.12.2018;bacalhoa;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015034934;1
Up2up;0;30.12.2018;up2up;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016332121;1
Lanson;39;30.12.2018;lanson;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009948272;1
белуга эпикур;1;30.12.2018;белуга эпикур;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026699195;1
Moet ch;35;29.12.2018;moet ch;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023286093;1
Sovinon blan;2;29.12.2018;sovinon blan;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,01566274;1
чивас ригал;19;29.12.2018;чивас ригал;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024696371;1
Redoma;3;29.12.2018;redoma;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,005240744;1
креман де бургонь;22;29.12.2018;креман де бургонь;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015716702;1
 2011 La Chapelle de Potensac, MEDOC, FRANCE;0;29.12.2018;2011 la chapelle de potensac, medoc, france;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017316155;1
