initial_query	fixed_by_prod_model
поискkhrisjoy	поискkhrisjoy
платье с цветочным узором	платье с цветочным узором
Ajmal	Ajmal
трикотажные+брюки	трикотажные+брюки
праймер	праймер
поискбутсы	поискбутсы
по2014иск	по2014иск
юбка weekend max mara	юбка weekend max mara
leaf moschino джинсы	leaf moschino джинсы
кардиган крупной вязки	кардиган крупной вязки
sublime	sublime
Brecourt	Brecourt
Рюкзак детский	Рюкзак детский
Юбка из шелка	Юбка из шелка
шапка max mara	шапка max mara
поискHugo boss	поискHugo boss
Шарф+burberry	Шарф+burberry
SHOW Beauty Lux Volume Shampoo	SHOW Beauty Lux Volume Shampoo
Мужская шапка крупной вязки	Мужская шапка крупной вязки
coccinelle рюкзак	coccinelle рюкзак
peche cardinal	peche cardinal
max+mara+шарф	max+mara+шарф
брелок	брелок
платье+футляр	платье+футляр
Ralph	Ralph
толстовки+bosco	толстовки+bosco
поискпуховик удлиненный	поискпуховик удлиненный
Сумка+weekend	Сумка+weekend
Розовый джемпер	Розовый джемпер
CPcompanyиск	CPcompanyиск
поисккупальник	поисккупальник
Choulett	Choulett
St barthпоиск	St barthпоиск
поло 18 года	поло 18 года
Домашние тапочки	Домашние тапочки
удлиненная кожаная куртка	удлиненная кожаная куртка
Женская одежда на меху	Женская одежда на меху
Emu	Emu
поискsander jil	поискsander jil
мини-юбка	мини-юбка
джинсы Trussardi	джинсы Trussardi
joseph	joseph
Bosco bambino	Bosco bambino
кружево	кружево
искусственная+кожа	искусственная+кожа
Джинсы max mara	Джинсы max mara
esteban	esteban
Платье Armani	Платье Armani
Платье marellaиск	Платье marellaиск
maison francis	maison francis
свитерпоиск	свитерпоиск
Calvin Kline	Calvin Kline
persona+marina+rinaldi	persona+marina+rinaldi
Jil+sandlerпоиск	Jil+sandlerпоиск
Etroоиск	Etroоиск
Шарф из шёлка с узором etro	Шарф из шёлка с узором etro
сетка	сетка
поискруллвер женский	поискруллвер женский
Storm and Marie	Storm and Marie
Шарф снуд женский	Шарф снуд женский
Шарф Weekend	Шарф Weekend
мех	мех
jacob cohen	jacob cohen
Кроссовки меховые Hogan	Кроссовки меховые Hogan
пейсли	пейсли
Mac eye shadow	Mac eye shadow
поискrexaline	поискrexaline
ermanno scervino сумки	ermanno scervino сумки
поискMax mata weekend	поискMax mata weekend
